experiment,config,strategy,throughput,p50,p90,p99,p99.9,max,errorRate,slowRequests
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,8161.41,112.00,114.00,160.00,172.00,208.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,64328.98,12.00,14.00,58.00,68.00,79.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,58570.74,12.00,21.00,63.00,83.00,121.00,0.00,15
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,67368.16,12.00,15.00,60.00,74.00,98.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,9008.27,112.00,114.00,162.00,174.00,215.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,67173.16,12.00,16.00,60.00,72.00,92.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,63036.10,12.00,14.00,78.00,114.00,142.00,0.00,103
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,72259.76,12.00,17.00,61.00,75.00,91.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,9848.91,112.00,115.00,161.00,177.00,213.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,77265.04,12.00,14.00,59.00,70.00,82.00,0.00,0
